espresso_elapsed,espresso_pressure,espresso_flow,espresso_flow_weight,espresso_temperature_basket,espresso_temperature_mix,espresso_weight
0.0,0.0,0.0,0.0,87.0,87.0,0.0
0.087,0.02,2.01,0.0,85.98,85.49,0.0
0.223,0.0,2.02,0.0,85.96,85.39,0.0
0.415,0.04,1.67,0.0,85.88,84.33,0.0
0.616,0.03,1.75,0.0,85.77,83.54,0.0
0.815,0.03,1.69,0.0,85.61,83.54,0.0
1.016,0.01,1.76,0.0,85.41,83.6,0.0
1.267,0.02,1.86,0.0,85.26,84.14,0.0
1.466,0.06,1.68,0.0,85.12,84.53,0.0
1.717,0.03,2.11,0.0,84.98,84.94,0.0
1.865,0.03,2.07,0.0,84.89,85.29,0.0
2.067,0.03,2.46,0.0,84.73,85.71,0.0
2.266,0.02,2.77,0.0,84.67,86.13,0.0
2.519,0.06,2.96,0.0,84.65,86.52,0.0
2.716,0.05,3.12,0.0,84.63,86.68,0.0
2.945,0.05,3.34,0.0,84.58,87.06,0.0
3.117,0.07,3.41,0.0,84.47,87.32,0.0
3.315,0.08,3.1,0.0,84.51,87.55,0.0
3.515,0.06,2.74,0.0,84.53,87.68,0.0
3.765,0.08,2.28,0.0,84.64,87.9,0.0
3.965,0.1,2.03,0.0,84.61,88.0,0.0
4.165,0.09,1.67,0.0,84.59,88.32,0.0
4.365,0.12,1.3,0.0,84.64,88.36,0.0
4.566,0.08,1.01,0.0,84.7,88.58,0.0
4.765,0.15,0.79,0.0,84.83,88.74,0.0
4.965,0.19,0.61,0.0,84.8,89.13,0.0
5.217,0.13,0.48,0.0,84.95,89.27,0.0
5.419,0.11,0.37,0.0,85.03,89.36,0.0
5.616,0.11,0.29,0.0,85.07,89.62,0.0
5.817,0.1,0.22,0.0,85.23,89.55,0.0
6.016,0.12,0.17,0.0,85.29,89.69,0.0
6.369,0.14,0.14,0.0,85.32,89.62,0.0
6.465,0.14,0.11,0.0,85.42,89.79,0.0
6.668,0.13,0.08,0.0,85.57,89.62,0.0
6.866,0.13,0.06,0.0,85.63,90.01,0.0
7.07,0.15,0.05,0.0,85.64,90.21,0.0
7.266,0.13,0.04,0.0,85.81,90.67,0.0
7.466,0.11,0.03,0.0,85.89,90.7,0.0
7.717,0.12,0.02,0.0,85.94,91.09,0.0
7.915,0.11,0.02,0.0,86.0,91.16,0.0
8.123,0.1,0.01,0.0,85.97,91.36,0.0
8.316,0.08,0.01,0.0,86.09,91.32,0.0
8.517,0.09,0.01,0.0,86.17,91.09,0.0
8.715,0.09,0.01,0.0,86.24,91.09,0.0
8.965,0.08,0.01,0.0,86.35,90.86,0.0
9.165,0.07,0.0,0.0,86.36,90.7,0.0
9.415,0.06,0.0,0.0,86.35,90.57,0.0
9.566,0.05,0.0,0.0,86.38,90.27,0.0
9.765,0.05,0.0,0.0,86.42,90.11,0.0
9.965,0.04,0.0,0.0,86.36,89.88,0.0
10.216,0.04,0.0,0.0,86.36,89.75,0.0
10.417,0.03,0.0,0.0,86.38,89.49,0.0
10.617,0.02,0.0,0.0,86.43,89.39,0.0
10.816,0.01,0.0,0.0,86.41,89.17,0.0
11.016,0.01,0.0,0.0,86.37,89.13,0.0
11.217,0.01,0.0,0.0,86.36,88.97,0.0
11.467,0.0,0.0,0.0,86.43,88.74,0.0
11.667,0.0,0.0,0.0,86.4,88.71,0.0
11.865,0.0,0.0,0.0,86.33,88.52,0.0
12.119,0.0,0.0,0.0,86.39,88.42,0.0
12.265,0.0,0.0,0.0,86.42,88.32,0.0
12.465,0.0,0.0,0.0,86.39,88.16,0.0
12.765,0.0,0.0,0.0,86.36,88.06,0.0
12.915,0.0,0.0,0.0,86.31,87.93,0.0
13.167,0.0,0.17,0.0,86.31,87.9,0.0
13.315,0.0,0.63,0.0,86.35,87.74,0.0
13.516,0.0,1.21,0.0,86.32,87.61,0.0
13.718,0.01,1.74,0.0,86.19,87.48,0.0
